episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
34,-23.4120470571619,"Location(x=-112.879379, y=-58.600906, z=0.001821)","Location(x=-111.989342, y=-58.684673, z=0.000000)",8.357030868530273,100,1,1,11.12773822530989,0.10042710704424773,10.243427000445081,21.223993820434348,0
35,-24.06971311172749,"Location(x=-112.834412, y=-59.469807, z=0.001890)","Location(x=-112.104836, y=-59.556442, z=0.000000)",8.29593801498413,99,1,1,10.457433021578248,0.11090860667873195,9.521287738112733,18.62532118883556,0
10,-9.412981224026073,"Location(x=-111.223114, y=-38.178211, z=0.001865)","Location(x=-110.137535, y=-38.179356, z=0.000000)",13.173954725265503,154,1,2,13.943461525939764,0.05149052156922289,19.828883016918553,23.088638619176066,0
11,-24.80177356163684,"Location(x=-113.117104, y=-60.553581, z=0.001642)","Location(x=-112.226921, y=-60.602390, z=0.000000)",8.001490831375122,94,1,1,9.742814188584815,0.12466797669848295,8.4297865073313,18.080460349573634,0
12,-17.523210140886192,"Location(x=-112.438881, y=-54.007977, z=0.001793)","Location(x=-111.327072, y=-54.175957, z=0.000000)",11.814570665359497,138,1,2,11.759049226171452,0.0687080575679004,14.959935698192567,20.415884184268542,0
13,-18.041769387041356,"Location(x=-110.475639, y=-55.759335, z=0.001672)","Location(x=-111.535263, y=-55.620312, z=0.000000)",9.985172748565674,117,1,2,12.41736782024491,0.07709324012639278,13.358034203003626,25.135481656077577,0
14,-4.523879910048443,"Location(x=-111.190971, y=-17.113844, z=0.001772)","Location(x=-110.272964, y=-17.141975, z=0.000000)",21.275135040283203,250,1,5,17.806397752316013,0.024700915007758926,41.12397909164429,29.094151433572403,0
15,-26.444306762585832,"Location(x=-109.849411, y=-50.206615, z=0.001853)","Location(x=-110.821068, y=-50.120922, z=0.000000)",8.279913187026978,98,1,1,8.888512281230861,0.1314227418582567,8.009919955627993,18.6904309744061,0
16,-9.276031524254986,"Location(x=-111.237137, y=-25.921015, z=0.001855)","Location(x=-110.207832, y=-25.948479, z=0.000000)",16.934019565582275,201,1,5,17.42970088883868,0.03150283336616736,32.31532867610804,34.31756751743743,0
17,-21.717094808112474,"Location(x=-109.770752, y=-49.218037, z=0.001850)","Location(x=-110.720421, y=-49.148842, z=0.000000)",6.877511024475098,81,1,1,12.036995467633457,0.11685338201374326,8.970901002176106,18.35997406325352,0
18,-25.138596741466547,"Location(x=-113.124550, y=-60.190010, z=0.001848)","Location(x=-112.185867, y=-60.233231, z=0.000000)",8.808045387268066,104,1,1,9.171425799588926,0.11927361707585092,8.777811240433948,18.32165483714038,0
19,-27.2794275363006,"Location(x=-113.267319, y=-62.403275, z=0.001695)","Location(x=-112.396721, y=-62.413940, z=0.000000)",6.572276592254639,78,1,1,9.169688780356337,0.16260772440060556,6.578283743932843,15.824511004542254,0
20,-6.616106327910444,"Location(x=-111.331619, y=-14.668021, z=0.001935)","Location(x=-110.291061, y=-14.695430, z=0.000000)",21.486695766448975,253,1,6,18.648331191055654,0.02328096518326129,43.598226295318455,27.090849974913834,0
21,-24.49613994020696,"Location(x=-111.723129, y=-48.485752, z=0.001880)","Location(x=-110.668457, y=-48.613861, z=0.000000)",9.234299182891846,107,1,2,9.646599085524928,0.11010169936525746,9.502882963599404,18.23567896783997,0
22,-23.401661602998345,"Location(x=-112.954132, y=-59.314121, z=0.001738)","Location(x=-112.087021, y=-59.415646, z=0.000000)",9.155002117156982,108,1,3,9.696481967372998,0.10818785981279612,9.650458747433731,21.34144581876458,0
23,-0.508802719316293,"Location(x=-109.171593, y=-38.996323, z=0.001681)","Location(x=-110.146568, y=-39.022472, z=0.000000)",18.553117036819458,220,1,9,14.870166328202258,0.0335987963360358,30.30650309380144,22.401919048143103,0
24,-14.625200054318789,"Location(x=-112.095619, y=-51.206867, z=0.001810)","Location(x=-110.967545, y=-51.415001, z=0.000000)",13.118966102600098,156,1,2,12.368971870258239,0.057662606923057656,17.78016227815533,19.413984220489066,0
25,-25.89414023967638,"Location(x=-113.149780, y=-61.099983, z=0.001870)","Location(x=-112.284912, y=-61.162136, z=0.000000)",8.009506464004517,94,1,1,9.124539135239674,0.13400834823522267,7.891318245528964,18.277242159283162,0
26,-29.24688545692337,"Location(x=-113.268295, y=-62.984997, z=0.001658)","Location(x=-112.443520, y=-62.995590, z=0.000000)",7.095530271530151,84,1,1,7.802977801482156,0.17939395946995604,6.031623824070266,14.664928000911551,0
27,-22.285284468113616,"Location(x=-109.728798, y=-48.245747, z=0.001766)","Location(x=-110.629494, y=-48.195282, z=0.000000)",8.523505449295044,101,1,1,10.7328461977922,0.10451495765513157,9.974509341351222,20.20509614348466,0
28,-17.160808279373818,"Location(x=-109.431892, y=-43.642361, z=0.001815)","Location(x=-110.300842, y=-43.632946, z=0.000000)",11.890061616897583,141,1,1,11.19147894010815,0.0709046422679332,14.5511244845693,19.101539731205754,0
29,-10.160810395111104,"Location(x=-111.850868, y=-50.223347, z=0.001819)","Location(x=-110.842857, y=-50.321716, z=0.000000)",12.68672800064087,150,1,1,13.568703310520103,0.05453962800119458,18.772456726932433,20.719574516576383,0
30,-14.88331660645294,"Location(x=-109.429321, y=-41.582073, z=0.001843)","Location(x=-110.209984, y=-41.576202, z=0.000000)",14.202168703079224,168,1,5,10.789777063051034,0.06197040476002972,16.71658720067353,18.306326295014042,0
31,-27.97622206017235,"Location(x=-113.246231, y=-62.234924, z=0.001695)","Location(x=-112.382645, y=-62.242653, z=0.000000)",7.579348087310791,89,1,1,8.275412019141127,0.15806142141593,6.765082133788383,16.081779038454137,0
32,-20.383125121119946,"Location(x=-111.456299, y=-46.222763, z=0.001879)","Location(x=-110.470718, y=-46.287895, z=0.000000)",9.85661268234253,115,1,1,11.139828558357415,0.08815646337343076,11.800582231255248,19.155219403022436,0
33,-5.928351544799849,"Location(x=-109.887154, y=-47.715073, z=0.001763)","Location(x=-110.584549, y=-47.691273, z=0.000000)",13.645931243896484,161,1,1,14.511333721256122,0.04760694692727466,21.54860055021345,26.813912136141173,0
34,-20.026696715576076,"Location(x=-112.676529, y=-58.037197, z=0.001719)","Location(x=-111.903824, y=-58.091141, z=0.000000)",8.862995386123657,107,1,3,11.191675710431774,0.09543679491805748,11.011779224936618,18.297324106614976,0
35,-15.772857570053624,"Location(x=-112.237381, y=-54.124306, z=0.001837)","Location(x=-111.339226, y=-54.262337, z=0.000000)",10.777827501296997,127,1,1,12.728988619232036,0.06924681087469699,14.866403296036879,22.15734333414234,0
36,-18.026008138086745,"Location(x=-109.485085, y=-45.146599, z=0.001736)","Location(x=-110.388237, y=-45.113308, z=0.000000)",9.79650068283081,118,1,1,12.020375449475072,0.07893934262976733,13.059258243942168,22.691139456754378,0
37,-16.131044214174338,"Location(x=-111.284470, y=-43.376068, z=0.001698)","Location(x=-110.293015, y=-43.482887, z=0.000000)",10.207661151885986,123,1,1,12.958478349065645,0.0704697878281831,14.698472267016768,18.71559336423304,0
38,-13.124849070813326,"Location(x=-110.407333, y=-54.271381, z=0.001760)","Location(x=-111.325302, y=-54.163307, z=0.000000)",10.119390964508057,122,1,1,13.285459557756631,0.0693033745444398,14.917314041609643,24.825775285811595,0
39,-17.02020156314065,"Location(x=-109.345619, y=-43.965984, z=0.001698)","Location(x=-110.317764, y=-43.945641, z=0.000000)",10.637768030166626,126,1,1,12.27494176075215,0.07216920193766346,14.239364971857867,23.817343422142205,0
40,-23.94598698812988,"Location(x=-113.115738, y=-60.180122, z=0.001829)","Location(x=-112.184631, y=-60.222271, z=0.000000)",7.810006141662598,93,1,1,10.30452969027923,0.11899824406269503,8.806935039174277,19.537059206347227,0
41,-24.1503674806563,"Location(x=-109.935616, y=-49.996948, z=0.001869)","Location(x=-110.800064, y=-49.924309, z=0.000000)",7.2751784324646,86,1,3,10.401955064046392,0.12877927735368588,8.221198119223118,18.49216800830748,0
42,-9.725779516905197,"Location(x=-111.098862, y=-40.292427, z=0.001682)","Location(x=-110.172783, y=-40.352657, z=0.000000)",11.403861045837402,135,1,1,14.317035076665922,0.05792936384832276,17.815306020900607,22.205171848425973,0
43,-24.26187754645064,"Location(x=-113.030487, y=-59.693016, z=0.001759)","Location(x=-112.136017, y=-59.809528, z=0.000000)",9.092750549316406,108,1,1,9.36067726628554,0.11256479865211705,9.284105172031559,20.51032514889683,0
44,-19.42447984916171,"Location(x=-112.659821, y=-57.203876, z=0.001844)","Location(x=-111.788933, y=-57.322392, z=0.000000)",9.348674297332764,111,1,1,11.506287599681455,0.08861395306171248,11.767366685904562,18.74340916151708,0
45,-27.53736113755261,"Location(x=-113.306862, y=-62.474266, z=0.001829)","Location(x=-112.402771, y=-62.488224, z=0.000000)",6.617773532867432,78,1,1,9.144894943154661,0.16296335775050896,6.543807544396259,19.010331041096464,0
