episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
0,-23.32321013784709,"Location(x=-112.876999, y=-58.130692, z=0.001810)","Location(x=-111.921570, y=-58.211803, z=0.000000)",3.5427215099334717,105,1,1,11.101670619868658,0.09567369935421552,10.740661729541898,21.519497272473053,0
1,-23.56575573436111,"Location(x=-112.986748, y=-58.673489, z=0.001851)","Location(x=-112.001587, y=-58.772858, z=0.000000)",3.280778408050537,98,1,1,11.385828839292564,0.10100084195884311,10.284911459124487,21.095743967369124,0
2,-24.98500341568171,"Location(x=-109.750679, y=-48.958241, z=0.001798)","Location(x=-110.695305, y=-48.893307, z=0.000000)",3.117875337600708,93,1,1,10.804048223354117,0.11334841593897113,9.254807047429495,18.142799639359147,0
0,-29.23651581106531,"Location(x=-113.236641, y=-61.461838, z=0.001617)","Location(x=-112.321144, y=-61.539799, z=0.000000)",3.2431113719940186,96,1,1,8.464395245547506,0.14039775318016542,7.475670840358362,17.741862301355155,0
1,-25.512550437370763,"Location(x=-113.068672, y=-60.071606, z=0.001655)","Location(x=-112.171349, y=-60.107090, z=0.000000)",3.1229565143585205,93,1,1,10.378733037508471,0.11845118806303193,8.888005496468395,17.368731368370145,0
2,-3.9356095817169425,"Location(x=-109.237900, y=-12.614586, z=0.001790)","Location(x=-110.306160, y=-12.654494, z=0.000000)",9.584075212478638,289,1,2,17.05716744227394,0.02216830097865908,45.53941882602521,28.089987421805233,0
3,-15.51127432408002,"Location(x=-111.045174, y=-17.731136, z=0.001869)","Location(x=-110.268394, y=-17.760105, z=0.000000)",20.891836404800415,243,1,5,18.162275706865397,0.02506211593256838,40.64521988790875,30.889343452764983,0
4,-22.81987722631016,"Location(x=-109.429161, y=-45.701023, z=0.001834)","Location(x=-110.424774, y=-45.654095, z=0.000000)",9.269858360290527,112,1,2,12.112431585601765,0.08247069777139218,12.501747198402882,20.921988958400007,0
5,-24.237852190694724,"Location(x=-112.765625, y=-56.826473, z=0.001777)","Location(x=-111.735634, y=-56.966961, z=0.000000)",9.844963312149048,118,1,2,11.167773019978885,0.08527316711416755,12.137107886577724,19.78967647299664,0
6,-26.63372866927606,"Location(x=-112.921394, y=-58.041191, z=0.001696)","Location(x=-111.909363, y=-58.128639, z=0.000000)",10.216737270355225,123,1,2,9.643021875258123,0.09523685786865772,10.923933731479337,18.22560842165542,0
7,-16.86807423338764,"Location(x=-109.094131, y=-28.387583, z=0.001939)","Location(x=-110.189499, y=-28.427633, z=0.000000)",14.82208514213562,179,1,2,17.98353453142704,0.03403876158874259,29.724660671898164,28.62273364763989,0
8,-29.712487257178836,"Location(x=-113.210365, y=-62.059975, z=0.001544)","Location(x=-112.369293, y=-62.083427, z=0.000000)",7.5293800830841064,91,1,1,8.280403322096241,0.15340904659317642,6.93629628123017,17.948538028422416,0
9,-12.199720285615143,"Location(x=-111.335052, y=-18.568377, z=0.001890)","Location(x=-110.262215, y=-18.595592, z=0.000000)",19.33077096939087,233,1,2,18.37587028787615,0.02559750208839669,39.528794122161344,27.047246530670837,0
10,-12.922906274765811,"Location(x=-111.424835, y=-17.783279, z=0.001842)","Location(x=-110.268028, y=-17.809998, z=0.000000)",19.442184925079346,235,1,2,18.634979553237162,0.02507307065901889,40.33451468683779,29.319243122452495,0
11,-25.418246308903065,"Location(x=-113.048500, y=-59.560902, z=0.001790)","Location(x=-112.119987, y=-59.678360, z=0.000000)",8.27675199508667,100,1,1,10.218140331741393,0.1111532883671931,9.402630626922473,19.61407929668478,0
12,-28.659223874345045,"Location(x=-113.156654, y=-61.660183, z=0.001568)","Location(x=-112.338852, y=-61.733795, z=0.000000)",7.4481682777404785,90,1,1,8.83627573550943,0.14508619175687795,7.324469479965046,15.435445661963303,0
13,-25.175153310322713,"Location(x=-113.103851, y=-59.923794, z=0.001811)","Location(x=-112.163170, y=-60.037186, z=0.000000)",7.5551347732543945,91,1,1,10.802554106345244,0.11585037507196093,9.049333157483488,19.39195308136673,0
14,-21.664658323552935,"Location(x=-109.605438, y=-47.225605, z=0.001774)","Location(x=-110.541702, y=-47.186707, z=0.000000)",8.08712911605835,97,1,1,12.289116864452703,0.09464336572389426,10.976637355226558,20.446284859671398,0
15,-15.988088592724297,"Location(x=-109.214020, y=-42.110386, z=0.001833)","Location(x=-110.229370, y=-42.090328, z=0.000000)",10.3162100315094,125,1,2,13.943879229655415,0.06369016720638039,16.073280532844365,21.06756855068092,0
16,-13.482344959745493,"Location(x=-109.022247, y=-38.924496, z=0.001835)","Location(x=-110.145523, y=-38.947567, z=0.000000)",11.918969869613647,144,1,2,14.524526184042433,0.052862491682746586,19.276096899062395,26.023999058937616,0
17,-13.19618407015587,"Location(x=-109.079048, y=-37.866802, z=0.001779)","Location(x=-110.135658, y=-37.884277, z=0.000000)",13.237735271453857,161,1,2,13.673176196226295,0.05011284717433578,20.304525823885342,25.880482302445383,0
18,-27.24257323565944,"Location(x=-113.111511, y=-60.803352, z=0.001884)","Location(x=-112.253838, y=-60.856091, z=0.000000)",7.747457504272461,94,1,1,9.4480099228476,0.12867716438532859,8.172142378753051,18.310330791968457,0
19,-26.001501961398077,"Location(x=-112.974030, y=-59.070702, z=0.001889)","Location(x=-112.055481, y=-59.172348, z=0.000000)",9.949023246765137,121,1,1,8.876904675043079,0.10539263574265591,9.890059250610648,18.39053880005226,0
