Ambiente - Parametri:
target_speed: 20
max_iter: 4000
start_buffer: 10
train_freq: 1
save_freq: 50
start_ep: 0
max_dist_from_waypoint: 20

------------------------------------

Modello - Parametri:
num_actions_steer: 13
num_action_throttle: 13
state_dim: (1, 128, 128)
in_channels: 1
INFO:  Found the required file in cache!  Carla/Maps/Nav/Town10HD_Opt.bin
WARNING: cannot parse georeference: ''. Using default values.
WARNING: cannot parse georeference: ''. Using default values.
Episode 0 processed 519 reward -56.226363170922504 duration 17.14560294151306
Episode 1 processed 349 reward -47.80652850638795 duration 11.55794644355774
Episode 2 processed 609 reward -29.5758336170605 duration 20.13471007347107
Episode 3 processed 256 reward -13.591705944792281 duration 8.486507415771484
Episode 4 processed 1173 reward -46.552878124701834 duration 38.74728226661682
Episode 5 processed 384 reward -60.97971607253314 duration 12.701597213745117
Episode 6 processed 522 reward -62.59500865732093 duration 17.26126217842102
Episode 7 processed 679 reward -60.863539637284745 duration 22.44225811958313
Episode 8 processed 563 reward -61.71841621228065 duration 18.668394804000854
Episode 9 processed 1157 reward -62.890800299247175 duration 38.218652963638306
Episode 10 processed 390 reward -30.98499266120158 duration 12.907926321029663
C:\Users\aless\Desktop\AutoGuidaAutonoma\QDriveSim\DQN_Control\model.py:89: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:277.)
  state_tensor = torch.FloatTensor(state).unsqueeze(0).to(self.device)
Episode 11 processed 498 reward -58.350802966302815 duration 16.74844217300415
Episode 12 processed 448 reward -51.94481733546889 duration 14.81058382987976
Episode 13 processed 434 reward -53.74343950610065 duration 14.352328300476074
Episode 14 processed 883 reward -8.999608614561454 duration 29.16628932952881
Episode 15 processed 396 reward -29.697688441193357 duration 13.094053030014038
Episode 16 processed 519 reward -24.54138709844475 duration 17.174177885055542
Episode 17 processed 723 reward -44.349685997761114 duration 23.88598394393921
Episode 18 processed 623 reward -60.89061266864219 duration 20.58684253692627
Episode 19 processed 466 reward -60.87853625039674 duration 15.476027965545654
Episode 20 processed 592 reward -38.11570561854698 duration 19.559937715530396
Episode 21 processed 625 reward -43.82010742891707 duration 20.657643795013428
Episode 22 processed 285 reward -32.64382923801018 duration 9.433334350585938
Episode 23 processed 177 reward -32.35690525440931 duration 5.870438575744629
Episode 24 processed 236 reward -44.72019278574115 duration 7.817790985107422
Episode 25 processed 445 reward -62.11885627299215 duration 14.714386463165283
Episode 26 processed 359 reward -53.30291316079888 duration 11.872201442718506
Episode 27 processed 646 reward -58.54884738187142 duration 21.34208393096924
Episode 28 processed 934 reward -13.51681251673305 duration 30.94014596939087
Episode 29 processed 385 reward -47.794000770966704 duration 12.733652830123901
target network updated
current epsilon 0.9620038
Episode 30 processed 434 reward -33.37028818984347 duration 14.349230289459229
Episode 31 processed 450 reward -55.71212209031388 duration 14.87618613243103
Episode 32 processed 351 reward -10.620219278384546 duration 11.610231399536133
Episode 33 processed 156 reward -39.288995387751754 duration 5.173295021057129
Episode 34 processed 474 reward -58.487702482059426 duration 15.66869330406189
Episode 35 processed 459 reward -59.773479645347756 duration 15.173914194107056
Episode 36 processed 438 reward -28.755381908062375 duration 14.588775873184204
Episode 37 processed 902 reward -35.048102563333245 duration 29.792694091796875
Episode 38 processed 403 reward -56.37438408042556 duration 13.329802751541138
Episode 39 processed 809 reward -56.887750386151325 duration 26.736319065093994
Episode 40 processed 370 reward -51.37086325891917 duration 12.238327503204346
Episode 41 processed 468 reward -36.09168617700005 duration 15.472514629364014
Episode 42 processed 653 reward -6.930860649458859 duration 21.699312686920166
Episode 43 processed 270 reward -37.01081086171436 duration 8.952033996582031
Episode 44 processed 283 reward -42.44348881190911 duration 9.370121717453003
Episode 45 processed 260 reward -41.709762903767384 duration 8.608403444290161
Episode 46 processed 223 reward -34.15194851406308 duration 7.384693622589111
Episode 47 processed 321 reward -40.45692456556648 duration 10.618422508239746
Episode 48 processed 332 reward -35.28890597887645 duration 10.983083963394165
Episode 49 processed 171 reward -33.51644709031675 duration 5.67031717300415
Episode 50 processed 366 reward -41.038203890224146 duration 12.104821681976318
Saved model with average reward = -25823.216711583627
Episode 51 processed 424 reward -55.75653361425375 duration 14.019322872161865
