episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
30,-8.273895933286974,"Location(x=-7.054603, y=-14.503457, z=0.086382)","Location(x=-8.627335, y=-17.760887, z=0.000000)",87.48678159713745,1035,1,26,18.629620858124248,87170.67598241568,22.021058887773886
31,-11.806549701576113,"Location(x=-155.852982, y=-2.256253, z=0.001324)","Location(x=-149.007080, y=-2.252686, z=0.000000)",43.41435623168945,611,1,4,17.96645558097864,28402.440184580162,21.7791536571993
32,-11.192686360094413,"Location(x=-155.279755, y=6.441388, z=0.084875)","Location(x=-149.011612, y=6.444655, z=0.000000)",27.037400484085083,385,1,6,17.049680804721454,10142.275045698509,22.116272524186986
33,-8.696916313597889,"Location(x=251.659851, y=-57.442795, z=0.081674)","Location(x=247.021820, y=-57.555603, z=0.000000)",27.260007858276367,372,1,2,17.108007698757664,9469.952548961155,22.39890597872046
34,-11.514878088390006,"Location(x=-16.878542, y=151.698593, z=0.152917)","Location(x=-9.383646, y=151.651169, z=0.000000)",34.93773365020752,506,1,12,17.58825104443247,18762.92184591759,22.40743042347343
35,-11.828756015517087,"Location(x=-95.799927, y=122.119576, z=0.183464)","Location(x=-88.031746, y=122.192459, z=0.053419)",40.683528661727905,577,1,8,17.949250467840116,25456.154998959973,22.086274755994992
36,-8.582618339905716,"Location(x=-6.309653, y=-14.820986, z=0.083621)","Location(x=-7.732041, y=-18.151726, z=0.000000)",33.5209059715271,405,1,6,17.087449634063177,11382.740658591501,22.308482571521647
37,-10.952441398126066,"Location(x=-105.658340, y=-146.598923, z=0.375903)","Location(x=-105.191612, y=-140.350281, z=0.295343)",30.48450231552124,452,1,28,17.582795213711492,14318.041125819087,22.151615335760248
38,-10.597526164316449,"Location(x=73.468208, y=-66.893044, z=7.830377)","Location(x=79.320724, y=-66.686211, z=7.768737)",36.3217830657959,395,1,6,17.240441479466583,10779.999615520239,23.033310235154296
39,-9.37253212129697,"Location(x=191.882355, y=14.729385, z=0.084153)","Location(x=191.962143, y=9.388159, z=0.000000)",15.462244272232056,245,1,4,15.721920764506871,3477.692378140986,22.53737352753515
40,-8.838236300673502,"Location(x=242.627335, y=-185.765518, z=0.075752)","Location(x=238.290375, y=-183.721405, z=0.000000)",114.38032960891724,1649,1,18,19.034936776656696,231184.9151508212,21.808730850275843
41,-9.924664066601427,"Location(x=-7.782427, y=-148.869278, z=0.030957)","Location(x=-3.811566, y=-148.756866, z=0.000000)",41.67663931846619,622,1,10,18.092761463405747,29711.223725873977,22.671417672325365
42,-9.407739719925718,"Location(x=224.755173, y=-9.736563, z=0.056683)","Location(x=224.686279, y=-5.124695, z=0.000000)",59.16428327560425,753,1,8,18.27699200510096,44601.968119669706,21.972356634303466
43,-8.945452205089193,"Location(x=7.555001, y=13.555488, z=0.117362)","Location(x=9.815311, y=17.319630, z=0.000000)",16.10558533668518,200,1,0,14.881722559078831,2079.18872586824,22.492036344635622
44,-15.226650660296395,"Location(x=82.860397, y=-216.310852, z=0.001420)","Location(x=82.599571, y=-205.931763, z=0.000000)",53.10584616661072,808,1,6,18.404263176544827,52220.4418316409,22.539910590611616
45,-12.216796028859264,"Location(x=-29.936970, y=-216.988647, z=0.154215)","Location(x=-30.133129, y=-208.764755, z=0.000000)",38.13407230377197,518,1,2,17.732938989857576,19865.331069759093,20.912293288421086
46,-13.880466607624646,"Location(x=-96.476463, y=171.592743, z=0.152443)","Location(x=-87.200066, y=169.341537, z=0.000000)",34.78081679344177,488,1,28,17.68272607291502,17192.310089666396,22.387579054937767
47,-10.643496568083071,"Location(x=199.432770, y=204.433029, z=2.718314)","Location(x=197.059830, y=198.513306, z=2.594095)",82.27384185791016,1162,1,56,18.771647005793902,112607.63368427195,22.57919357052279
48,-15.719066221261466,"Location(x=256.239227, y=11.156682, z=0.151693)","Location(x=245.357086, y=10.892021, z=0.000000)",20.60870385169983,309,1,0,16.400496102550676,6052.01587887574,21.92890036755338
49,-21.391879323191148,"Location(x=-21.737526, y=223.404617, z=0.153906)","Location(x=-21.776997, y=207.585434, z=0.000000)",34.7113471031189,500,1,0,17.689811110470128,18467.802003134042,22.296576076108867
50,-20.685872578839344,"Location(x=-159.585846, y=137.095810, z=0.149424)","Location(x=-143.257721, y=125.740242, z=0.000000)",27.688718557357788,371,0,12,16.991590234196966,9400.490946676582,22.111519640189965
51,-11.390916296960244,"Location(x=-95.622574, y=-10.034341, z=0.108669)","Location(x=-95.405518, y=-3.108424, z=0.000000)",26.184383630752563,303,1,8,16.663812710051847,5807.8091219216585,22.500015237540374
52,-19.57327619793541,"Location(x=27.240107, y=222.937881, z=0.156405)","Location(x=27.201492, y=207.463226, z=0.000195)",110.06566667556763,1510,1,38,18.959452278641095,182953.0301060453,22.417418808191538
53,-10.186074425069016,"Location(x=-86.557182, y=187.167130, z=0.125743)","Location(x=-81.297966, y=184.170883, z=0.000000)",32.05871057510376,456,1,9,17.350276197611734,14910.574834238738,22.433629953205998
54,-9.311294401032367,"Location(x=55.459862, y=-12.915275, z=0.079910)","Location(x=55.381260, y=-7.653704, z=0.031825)",28.41469979286194,294,1,2,16.41858353791488,5441.262782875914,22.443085084883638
55,-19.83468011201782,"Location(x=-2.845114, y=227.403183, z=0.153735)","Location(x=-2.894679, y=207.538330, z=0.000000)",29.14620852470398,415,0,0,17.28429036998262,12090.238889604807,22.034109906759547
56,-10.323155373324358,"Location(x=-10.100079, y=-127.176590, z=0.060353)","Location(x=-4.432909, y=-127.936646, z=0.000000)",66.54802441596985,730,1,8,18.401102324210743,41783.88517953921,22.69370586444134
57,-9.702435578832047,"Location(x=12.207911, y=-32.594967, z=0.046191)","Location(x=8.345021, y=-31.975903, z=0.000000)",30.74995708465576,336,1,14,16.63708163282293,7296.678570341319,22.143914483217404
58,-10.073275259340107,"Location(x=-68.363869, y=-16.494062, z=0.020581)","Location(x=-74.409889, y=-16.477575, z=-0.105362)",25.884971618652344,289,1,0,16.162331252852233,5161.331480342662,22.02743991100345
59,-13.078887036233734,"Location(x=-137.575195, y=141.856033, z=0.156066)","Location(x=-133.584778, y=134.157303, z=0.000000)",78.66306138038635,1045,1,18,18.70365611479388,89446.82688371092,21.330407643765856
60,-7.727101623797902,"Location(x=209.531708, y=4.230525, z=0.048114)","Location(x=209.503036, y=6.149787, z=0.000000)",45.85372233390808,459,1,24,17.277259438877348,14658.720171485096,22.363096211097915
61,-10.75309175983999,"Location(x=92.855400, y=-169.856735, z=3.273111)","Location(x=86.155708, y=-169.880859, z=3.192745)",42.751418590545654,558,1,9,17.879007495769272,23168.372663371265,22.0391560677736
62,-13.993132030322997,"Location(x=33.520550, y=122.518280, z=0.214494)","Location(x=33.636009, y=130.612122, z=0.000000)",46.14372801780701,513,1,8,17.665265217486986,19382.77824657061,21.006250325276156
63,-16.301124935584202,"Location(x=256.177460, y=65.111755, z=0.156939)","Location(x=244.045593, y=64.816696, z=0.003323)",29.344732522964478,350,1,10,16.89012616294343,8183.969988102093,21.473264139814347
64,-17.319419667999988,"Location(x=166.963226, y=-142.999405, z=8.145820)","Location(x=154.169678, y=-143.221878, z=7.797328)",36.509458780288696,462,1,0,17.57788120649648,15580.852033873554,22.407623179067514
65,-12.934622865352075,"Location(x=-20.841476, y=-217.313293, z=0.152650)","Location(x=-21.050829, y=-208.536514, z=0.000000)",37.57790923118591,475,1,0,17.56549417412122,16267.343132783426,22.01856542924754
66,-14.682498000945575,"Location(x=-20.457918, y=61.807899, z=0.206021)","Location(x=-9.952551, y=61.741428, z=0.000000)",16.652837991714478,215,1,1,14.991329990730927,2480.6864335248247,22.04327381135005
67,-10.101320428846694,"Location(x=26.821527, y=-212.002884, z=0.071775)","Location(x=26.704256, y=-207.336411, z=0.000000)",26.099809646606445,378,1,22,17.055088354956787,9734.490801457549,20.932408765698245
68,-12.12391762490854,"Location(x=-66.739868, y=-147.037155, z=0.086546)","Location(x=-66.906883, y=-139.705704, z=0.000000)",63.11520791053772,773,1,10,18.32835829242478,46703.82091700286,22.046964221311335
69,-10.056852113311209,"Location(x=141.772873, y=68.467766, z=0.080277)","Location(x=141.757431, y=62.462326, z=0.000000)",18.645588159561157,242,1,8,15.51005077837095,3334.3268211139366,21.834868679499237
70,-9.118469892812552,"Location(x=13.981892, y=-97.185577, z=0.082814)","Location(x=8.923206, y=-97.310402, z=0.000000)",23.083712100982666,273,1,4,16.15735978597025,4547.09027183475,21.95504329247696
71,-12.061664698554655,"Location(x=-97.756874, y=29.804382, z=0.219278)","Location(x=-103.407242, y=24.217392, z=0.000000)",69.00244402885437,731,1,6,18.389212250540922,42114.66426075995,21.952894867729515
72,-20.20321092868022,"Location(x=-59.969227, y=155.582184, z=0.151094)","Location(x=-74.602943, y=155.636398, z=0.000000)",38.18040132522583,410,1,14,17.29854279395456,11733.474185761064,22.615480465329508
73,-11.450476411337153,"Location(x=-156.344208, y=-4.502704, z=0.001272)","Location(x=-149.005905, y=-4.498879, z=0.000000)",38.228092670440674,435,1,12,17.40718083584138,13299.406580664217,22.049511004653365
74,-8.327699430783202,"Location(x=37.458767, y=-12.117824, z=0.043604)","Location(x=37.384567, y=-7.922868, z=-0.016995)",52.90008211135864,555,1,8,17.7535447343961,22993.295843180735,22.622253316226367
75,-9.331878926798813,"Location(x=0.679091, y=-15.690660, z=0.089970)","Location(x=0.983811, y=-19.508327, z=0.000000)",21.538651704788208,243,1,6,15.696754066350495,3412.422833661316,22.596163316955288
76,-9.967945573546984,"Location(x=46.482754, y=-12.166239, z=0.049565)","Location(x=46.417347, y=-7.787603, z=0.007511)",25.435380220413208,301,1,5,16.287768999747122,5698.168878971133,21.99069340617253
77,-8.394047820994206,"Location(x=-21.089975, y=18.031027, z=0.097175)","Location(x=-18.180847, y=15.496440, z=0.000000)",49.95390510559082,550,1,8,17.849419151526327,22574.670962493634,22.584833823633005
78,-9.063633717323118,"Location(x=13.595338, y=-6.429947, z=0.097993)","Location(x=17.345453, y=-8.351850, z=0.000000)",16.798545837402344,173,1,0,13.93418826272682,1391.3351300412323,21.837096792801564
79,-15.317559200347885,"Location(x=-62.675667, y=-125.228828, z=0.099465)","Location(x=-62.442577, y=-136.109238, z=0.000000)",26.425811290740967,319,1,8,16.69895332020804,6373.972050540149,21.820540712884476
80,-15.961328389366104,"Location(x=256.347992, y=42.663372, z=0.153747)","Location(x=244.591339, y=42.377441, z=0.000000)",49.24611186981201,543,1,4,17.9087986136562,21967.48180064559,21.99089049763164
81,-11.992848137495727,"Location(x=-67.979050, y=163.317230, z=0.148626)","Location(x=-73.908180, y=164.540375, z=0.000000)",31.299159049987793,430,1,11,17.42399265345523,13174.642541331239,21.45144833800126
82,-9.11548274931129,"Location(x=-69.389839, y=-151.176819, z=0.078699)","Location(x=-74.455437, y=-151.430847, z=0.000000)",90.7197527885437,1114,1,10,18.787685849929957,103040.42988985777,22.356799678511912
83,-11.245643826781315,"Location(x=-93.571365, y=46.364487, z=0.584448)","Location(x=-88.238586, y=46.349941, z=0.476655)",46.236645460128784,471,1,24,17.418386666196994,15847.799352662056,22.150133832746302
84,-20.001509229785732,"Location(x=-84.913872, y=203.503998, z=0.153647)","Location(x=-74.084877, y=193.818466, z=0.000000)",39.00573468208313,463,1,4,17.5083957156326,15199.316440801136,22.641081464149103
85,-9.327463981777619,"Location(x=0.971761, y=16.196686, z=0.087910)","Location(x=1.224382, y=20.248158, z=0.000000)",25.524274110794067,270,1,0,15.943556079181343,4373.411627860274,22.051815810159745
86,-23.647250158916602,"Location(x=-77.023117, y=-222.195312, z=0.153754)","Location(x=-68.142235, y=-205.112137, z=0.000000)",97.21013331413269,1095,1,16,18.718083838068956,98315.15974260867,22.36376417670649
87,-19.75103098621345,"Location(x=-5.478734, y=222.183670, z=0.153778)","Location(x=-5.515258, y=207.544861, z=0.000000)",37.3695342540741,456,1,0,17.435421432752193,14898.629130912479,22.073570165240472
88,-13.48076681738917,"Location(x=72.648125, y=-214.748199, z=0.164947)","Location(x=72.432983, y=-206.187241, z=0.000000)",32.89794182777405,445,1,10,17.539769977531016,14249.098113302141,22.30093413933277
89,-9.33886313507419,"Location(x=11.935717, y=8.015150, z=0.152908)","Location(x=16.266140, y=10.962767, z=0.000000)",34.047751903533936,355,1,4,16.846329164435016,8484.52068887325,20.653936101281506
90,-20.310204915326775,"Location(x=-153.896545, y=138.195450, z=0.149159)","Location(x=-141.744476, y=127.707680, z=0.000000)",88.82918214797974,1013,1,8,18.620580770171575,84076.52961024642,22.030285061623626
91,-6.3742254053543705,"Location(x=43.929764, y=1.344585, z=0.031203)","Location(x=43.894936, y=3.676001, z=0.001135)",7.701755046844482,88,1,0,8.82327377167489,153.63613588386215,21.472368804153664
92,-12.422576719493339,"Location(x=144.194763, y=-145.398865, z=7.638742)","Location(x=150.704330, y=-145.245804, z=7.575305)",23.649487495422363,294,1,2,16.35589312289666,5440.659995377529,22.11923907484085
93,-12.579431224422272,"Location(x=-6.112789, y=-216.062286, z=0.160073)","Location(x=-6.311222, y=-208.166092, z=0.000000)",53.66383934020996,625,1,10,17.990114080366467,29824.575520360377,22.534194058539242
94,-11.921875534170443,"Location(x=-94.368233, y=-37.256287, z=-0.237117)","Location(x=-88.466652, y=-37.272381, z=-0.389846)",52.1618435382843,552,1,8,17.912947357764384,22922.245852053864,22.008609080096445
95,-6.116556589518499,"Location(x=-31.556698, y=172.747147, z=0.025446)","Location(x=-30.628048, y=174.478806, z=0.000000)",12.676042318344116,150,1,3,13.192777028237852,940.5048174252734,22.332687113962024
96,-15.146946672750586,"Location(x=243.449799, y=173.929794, z=1.700848)","Location(x=234.084946, y=168.394318, z=1.668038)",122.54656934738159,1454,1,40,18.913528299308158,175900.77464887814,21.909287510214156
97,-13.855457584221309,"Location(x=89.985718, y=76.498596, z=0.148043)","Location(x=85.760086, y=69.862343, z=0.000000)",46.21490979194641,442,1,10,17.435632291412762,13865.26874747919,22.05478501942557
98,-8.872673740778598,"Location(x=158.887863, y=13.639167, z=0.048000)","Location(x=158.958725, y=8.895167, z=0.005716)",12.45216965675354,156,1,0,13.501328215156855,1043.0899721295573,21.33168134484863
