episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed
30,-19.146439029493695,"Location(x=-24.753021, y=-108.801003, z=-0.018941)","Location(x=-4.809658, y=-108.308876, z=0.000000)",38.40515398979187,523,0,8,17.777287574425632,20318.306115636602,21.762982703573808
31,-11.891573756332416,"Location(x=-155.792892, y=-3.260720, z=0.001450)","Location(x=-149.006561, y=-3.257182, z=0.000000)",33.3365204334259,614,1,2,17.981117031074962,28621.65897827223,22.032069744576745
32,-10.909729311673807,"Location(x=-155.114792, y=7.115913, z=0.065051)","Location(x=-149.011963, y=7.119094, z=0.000000)",20.4021213054657,381,1,7,17.15046959134697,10048.518580071628,21.991379770163025
33,-7.837343591032393,"Location(x=250.933029, y=-59.428841, z=0.013244)","Location(x=247.069641, y=-59.522804, z=0.000000)",21.3860182762146,385,1,4,17.07207768059272,10120.839326150715,21.7703655391137
34,-19.868658816686583,"Location(x=-5.790595, y=222.181290, z=0.153855)","Location(x=-5.827111, y=207.545639, z=0.000000)",45.58807182312012,895,1,6,18.510036233166684,64368.79673374072,22.02696023509376
35,-7.97069316477851,"Location(x=-91.915604, y=89.142761, z=0.582055)","Location(x=-88.121910, y=89.132416, z=0.557127)",21.569388389587402,401,1,16,17.24636750425808,11132.93945813179,22.57518704214772
36,-8.170992550984984,"Location(x=-8.569477, y=-13.663140, z=0.096185)","Location(x=-10.442812, y=-16.790955, z=0.000000)",25.990161180496216,413,1,4,17.312264915670564,11967.012730434537,22.521658889767583
37,-17.2122077980681,"Location(x=-61.295288, y=-154.043808, z=0.149944)","Location(x=-74.336494, y=-154.674011, z=0.000000)",24.5794837474823,473,1,6,17.71347946359419,15949.389038965106,22.368627706338124
38,-14.302975178156174,"Location(x=70.500557, y=-80.506378, z=8.214732)","Location(x=79.797554, y=-80.177795, z=8.000000)",27.62340784072876,409,1,4,17.143651163480524,11613.131219513714,22.18208533770816
39,-7.502124265491003,"Location(x=196.924316, y=2.502651, z=0.120495)","Location(x=196.872665, y=5.961120, z=0.000000)",13.861029863357544,275,1,8,15.955393937038984,4550.758482370526,21.94212805014886
40,-10.811140278442373,"Location(x=227.744278, y=-38.333218, z=0.078318)","Location(x=232.547318, y=-38.216400, z=0.000000)",50.55019211769104,839,1,8,18.53082234694162,56414.14214003086,21.90377505557198
