episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
27,-4.615155673874724,"Location(x=-110.273895, y=-52.228176, z=0.002867)","Location(x=-111.058960, y=-52.164753, z=0.000000)",2.668724536895752,80,0,0,8.326480745883847,6.110328363254666,21.515855439042294,-0.25
28,-5.27130149656746,"Location(x=-109.834023, y=-49.649990, z=0.000826)","Location(x=-110.763695, y=-49.576351, z=0.000000)",3.192488670349121,96,0,0,9.855929182487605,8.705439077923074,21.321062141143532,0.2833333333333333
29,-4.926617058056362,"Location(x=-109.154411, y=-24.608469, z=0.001477)","Location(x=-110.217445, y=-24.648335, z=0.000000)",9.69175124168396,293,0,0,16.538576423574174,44.705607041250914,22.24074343090647,-0.18333333333333335
30,-5.281446725438272,"Location(x=-109.402985, y=-44.413269, z=0.002374)","Location(x=-110.343132, y=-44.388371, z=0.000000)",4.149038791656494,125,0,0,12.061739480081112,13.9142576912418,22.21802883735738,0.2833333333333333
31,-4.404959300795172,"Location(x=-113.060638, y=-59.497227, z=-0.000315)","Location(x=-112.112228, y=-59.615639, z=0.000000)",3.32562255859375,100,0,0,10.41637412476031,9.603624920826405,22.013454581822952,-0.6
32,-5.33367521864771,"Location(x=-109.342094, y=-31.988203, z=0.001355)","Location(x=-110.162880, y=-32.026623, z=0.000000)",6.433403968811035,194,0,0,14.616475537879296,26.32511462410912,22.019802847183545,0.4166666666666667
33,-5.121483556926356,"Location(x=-113.075546, y=-61.316154, z=0.001761)","Location(x=-112.305603, y=-61.374775, z=0.000000)",2.989314079284668,90,0,0,9.379557807539458,7.7834982187487185,21.06678199295247,0.2833333333333333
34,-4.7292301751909775,"Location(x=-113.194366, y=-61.872360, z=0.001199)","Location(x=-112.358200, y=-61.953697, z=0.000000)",2.963183879852295,87,0,0,9.070213896065082,7.256278824992478,20.603046693396266,-0.18333333333333335
35,-5.075224540152114,"Location(x=-113.148247, y=-61.001091, z=0.001212)","Location(x=-112.274834, y=-61.061237, z=0.000000)",3.0612034797668457,92,0,0,9.581625345121129,8.111873141955584,21.102882699851357,0.15000000000000002
36,-5.60379220054469,"Location(x=-109.291901, y=-14.024376, z=0.000809)","Location(x=-110.295731, y=-14.063897, z=0.000000)",9.630228281021118,291,0,0,16.450038450104323,44.20794444857165,20.970372999161494,0.55
