episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
95,29.876094872808242,-12477.861000681325,"Location(x=164.755173, y=297.984955, z=0.321478)","Location(x=164.757004, y=302.522064, z=0.000000)",16.83245539665222,473,1,13,21.766413763828204
96,31.356265108174302,-12720.330280913666,"Location(x=139.591599, y=226.598495, z=0.292710)","Location(x=136.122498, y=226.594986, z=0.000000)",14.491408586502075,401,1,12,22.26112717806063
97,18.435656055390176,-12631.339002764527,"Location(x=193.560867, y=111.208618, z=0.243873)","Location(x=192.297470, y=111.757309, z=0.000000)",4.243165731430054,121,1,1,9.170940904112252
98,34.7587235160748,-13029.048055202957,"Location(x=182.425644, y=140.775497, z=0.364790)","Location(x=189.709137, y=140.781937, z=0.000000)",14.537501573562622,406,1,6,21.189592862670274
99,35.34378819451346,-14073.380213613827,"Location(x=159.224243, y=292.473755, z=0.294965)","Location(x=159.228302, y=302.529663, z=0.000000)",13.373175382614136,372,1,11,21.040057496233555
100,32.55867968692827,-14376.265663729191,"Location(x=-9.280354, y=180.297043, z=0.276943)","Location(x=-7.455876, y=180.304703, z=0.000000)",19.397350072860718,550,1,7,21.42771652556104
101,30.49916265114282,-910.3200837433938,"Location(x=184.631454, y=177.069687, z=0.326096)","Location(x=189.683350, y=177.077301, z=0.000000)",15.257039785385132,415,1,6,21.41547574477425
102,26.48893306210494,-877.3906959497178,"Location(x=195.261719, y=121.330345, z=0.246967)","Location(x=193.735565, y=121.332191, z=0.000000)",8.80717396736145,247,1,7,17.513130421414488
103,31.06460865281686,-1489.6879567080261,"Location(x=213.585144, y=185.693024, z=0.301784)","Location(x=193.685303, y=185.697540, z=0.000000)",8.70603346824646,243,0,0,21.138181982099592
104,31.446334570586863,-1897.1297526616904,"Location(x=110.412399, y=179.405350, z=-0.007838)","Location(x=110.408630, y=187.602859, z=0.000000)",17.389885425567627,473,1,8,21.517284017372123
105,28.476136811009894,-2266.9379679275467,"Location(x=139.592987, y=228.535156, z=0.287274)","Location(x=136.120544, y=228.531631, z=0.000000)",12.123504877090454,331,1,14,17.301175957131477
106,30.510124202999304,-2490.431576170763,"Location(x=71.490852, y=196.410461, z=0.324740)","Location(x=71.493065, y=191.585022, z=0.000000)",10.905570030212402,307,1,12,16.891625727509634
107,41.725071937135695,-2700.882688720818,"Location(x=195.579941, y=248.427032, z=0.277337)","Location(x=193.699478, y=248.424011, z=0.000000)",17.654608249664307,486,1,2,23.89284773976663
108,30.79578849465886,-2821.2754175936775,"Location(x=188.278763, y=256.579651, z=0.271774)","Location(x=189.695984, y=256.578705, z=0.000000)",8.248347520828247,227,1,6,17.963396464642454
109,26.107681749563703,-3874.0013529106814,"Location(x=207.270309, y=202.855148, z=0.301775)","Location(x=193.689178, y=202.858215, z=0.000000)",12.354857206344604,340,1,10,20.389120025791073
110,29.393569499056266,-4058.522742359392,"Location(x=-11.782857, y=112.888710, z=0.326569)","Location(x=-7.040466, y=114.049751, z=0.000000)",12.874247312545776,364,1,17,20.38186407791193
111,26.32732252324735,-4086.232296650505,"Location(x=200.140518, y=242.430771, z=0.321041)","Location(x=193.698120, y=242.432236, z=0.000000)",11.923227548599243,331,1,2,16.15341415481312
112,38.7767209028702,-5088.767092224976,"Location(x=213.394547, y=179.169586, z=0.301792)","Location(x=193.683807, y=179.152145, z=0.000000)",18.73724937438965,522,0,6,25.31369167660007
113,22.22702568394668,-5318.764165231046,"Location(x=-12.455550, y=107.040985, z=0.322605)","Location(x=-5.878203, y=111.282684, z=0.000000)",4.48629093170166,127,1,3,12.287914102881059
114,30.286373603942607,-6021.325756174863,"Location(x=208.612610, y=189.381165, z=0.301843)","Location(x=193.686142, y=189.384552, z=0.000000)",17.9977810382843,489,1,4,25.787448693728454
115,28.512552926402176,-6487.115544413334,"Location(x=187.505875, y=307.861450, z=0.265231)","Location(x=186.504272, y=305.246399, z=0.000000)",26.12953233718872,733,1,10,21.937244981181586
116,39.64156475339631,-6601.659695765818,"Location(x=187.423279, y=262.392761, z=0.282511)","Location(x=189.692017, y=262.392365, z=0.000000)",10.487240076065063,291,1,7,20.624430191980085
117,34.84686246714007,-6533.777390258191,"Location(x=141.167404, y=111.751114, z=0.273444)","Location(x=141.169846, y=109.447388, z=0.000000)",17.73209261894226,491,1,8,18.999758705104835
118,29.58049049501352,-6511.8834235115355,"Location(x=42.188049, y=310.046722, z=0.276292)","Location(x=42.186459, y=306.534393, z=0.000000)",8.279523849487305,236,1,4,16.2357500973175
119,35.338597427193776,-6949.919674944382,"Location(x=-1.052674, y=313.401093, z=0.320722)","Location(x=0.964241, y=306.268036, z=0.000000)",14.34403681755066,408,1,21,21.292250751581033
120,35.052195119521556,-7173.6834155569195,"Location(x=-3.107788, y=313.570801, z=0.318570)","Location(x=-0.195183, y=305.940887, z=0.000000)",13.405802965164185,380,1,10,21.94051569334687
121,25.678953473266876,-7522.877965570695,"Location(x=-14.840590, y=303.875641, z=0.318745)","Location(x=-6.535417, y=300.425476, z=0.000000)",8.882776021957397,252,1,8,18.106769976861674
122,27.368273913616797,-7669.610612427888,"Location(x=-11.588367, y=113.570457, z=0.329208)","Location(x=-7.147805, y=114.515244, z=0.000000)",8.905709743499756,251,1,15,16.500225715053105
123,32.201448118833916,-8693.222759223601,"Location(x=194.322510, y=307.573730, z=0.325497)","Location(x=190.347015, y=302.648224, z=0.000000)",31.314372777938843,870,1,18,23.264528380207107
124,36.48207447558768,-9025.46697965717,"Location(x=111.315712, y=293.531189, z=0.321644)","Location(x=111.322792, y=302.551239, z=0.000000)",11.374494791030884,315,1,7,18.761142436797122
125,40.93829487848216,-10119.554380925836,"Location(x=157.150558, y=286.360779, z=0.314287)","Location(x=157.157074, y=302.532501, z=0.000000)",12.623382806777954,349,1,13,22.501758939767075
126,40.09693773584042,-10095.619107437233,"Location(x=133.213913, y=245.394150, z=0.319007)","Location(x=133.216614, y=240.924454, z=0.000000)",8.130715131759644,227,1,2,16.597958470567402
127,28.49142264652742,-10133.21722432509,"Location(x=-12.314748, y=109.534431, z=0.327082)","Location(x=-6.463305, y=112.396866, z=0.000000)",9.428798198699951,265,1,11,15.709294775141249
128,38.5985331391327,-10601.5670012923,"Location(x=7.512372, y=319.537262, z=0.317084)","Location(x=7.503524, y=306.558044, z=0.000000)",14.003305912017822,387,1,21,19.671441683875504
129,29.439967976664125,-11021.157673827065,"Location(x=176.571228, y=194.421982, z=0.311637)","Location(x=176.572510, y=191.633163, z=0.000000)",15.682558059692383,430,1,5,21.496370329685035
130,24.939434836893007,-13051.993310824037,"Location(x=63.857658, y=129.354630, z=0.001892)","Location(x=63.824940, y=109.400002, z=0.000000)",13.371561288833618,376,0,8,21.029978487335207
131,29.512510553008724,-13275.949000127372,"Location(x=197.726349, y=251.006699, z=0.325691)","Location(x=193.699799, y=251.004135, z=0.000000)",10.666269779205322,295,1,4,16.167248100639586
132,28.612207415524715,-13349.544577665505,"Location(x=43.124691, y=310.043152, z=0.272822)","Location(x=43.123104, y=306.533752, z=0.000000)",11.549481868743896,326,1,2,17.597978404317026
133,30.52678580105457,-13396.196122143834,"Location(x=134.667145, y=182.894608, z=0.330511)","Location(x=134.664993, y=187.613968, z=0.000000)",7.495525360107422,208,1,2,17.042205468130717
134,26.53056527367751,-13545.762535322718,"Location(x=0.526322, y=267.126343, z=0.323528)","Location(x=-3.413780, y=267.129730, z=0.000000)",7.2867431640625,206,1,11,18.077404645444354
135,37.51380443067319,-13799.735154996235,"Location(x=158.738495, y=295.834534, z=0.295444)","Location(x=158.741196, y=302.530334, z=0.000000)",10.279700994491577,284,1,11,18.906441507174595
136,36.61674307258065,-13865.166184107364,"Location(x=38.208611, y=238.077194, z=0.296724)","Location(x=41.854221, y=238.076874, z=0.000000)",7.278886079788208,205,1,2,17.510491868237335
137,30.590908351424265,-14091.500126128265,"Location(x=5.687354, y=195.187592, z=0.288490)","Location(x=5.689019, y=191.554855, z=0.000000)",14.737505912780762,410,1,16,14.545926358498983
138,30.251531926905333,-14127.413974746618,"Location(x=-11.501296, y=186.837021, z=0.322947)","Location(x=-7.454402, y=186.836105, z=0.000000)",17.641414880752563,495,1,6,19.100025332578582
139,25.12734647085931,-15089.98239360316,"Location(x=-7.835862, y=88.272095, z=0.001797)","Location(x=0.167161, y=106.425636, z=0.000000)",8.328998565673828,237,0,9,15.38209638522159
140,38.80512056852766,-15741.345516422396,"Location(x=167.126205, y=299.362915, z=0.300024)","Location(x=167.127472, y=302.518829, z=0.000000)",21.818020582199097,597,1,9,27.893196270227357
141,32.671258943090876,-15983.651277809095,"Location(x=-10.828149, y=209.422165, z=0.302778)","Location(x=-7.449303, y=209.419281, z=0.000000)",9.846791505813599,277,1,10,16.77566185427819
142,35.408471960880874,-16102.86698109165,"Location(x=144.496338, y=234.272125, z=0.297637)","Location(x=144.494720, y=236.931305, z=0.000000)",15.373164653778076,420,1,5,14.576930627099566
143,37.04876109184584,-16541.552442815675,"Location(x=193.136963, y=112.004410, z=0.221703)","Location(x=192.571564, y=112.294067, z=0.000000)",27.098204135894775,731,1,26,25.550734579962526
144,24.001867177796647,-16455.1032354208,"Location(x=196.616318, y=239.738953, z=0.272240)","Location(x=193.697510, y=239.739609, z=0.000000)",10.962439775466919,302,1,3,12.251357885979822
145,26.75729162550068,-16538.08327251728,"Location(x=-7.644139, y=311.302032, z=0.318954)","Location(x=-3.080561, y=304.496490, z=0.000000)",9.808652639389038,277,1,9,16.031187218186883
146,33.14515443107227,-16917.545379119078,"Location(x=199.546204, y=242.844330, z=0.324866)","Location(x=193.698212, y=242.845657, z=0.000000)",17.827963829040527,488,1,10,24.893981118182744
147,29.801515633029975,-16953.520745511127,"Location(x=189.677628, y=307.812897, z=0.272805)","Location(x=187.696320, y=304.621979, z=0.000000)",3.902094841003418,109,1,6,14.44833382366709
148,37.033125603096245,-17158.0037300928,"Location(x=143.323135, y=185.045349, z=0.283344)","Location(x=143.321960, y=187.617935, z=0.000000)",11.158593893051147,306,1,5,18.310066222192432
149,23.18221432910837,-20032.099427756,"Location(x=46.803539, y=129.378296, z=0.001876)","Location(x=46.779396, y=109.398453, z=0.000000)",21.596189737319946,607,0,10,23.361302482704303
150,31.704344538414823,-20122.895674114778,"Location(x=32.779987, y=192.678024, z=0.247429)","Location(x=32.780495, y=191.567276, z=0.000000)",26.753888368606567,747,1,11,19.353909763902106
151,31.624334015764955,-265.74393807561387,"Location(x=-10.680943, y=310.227081, z=0.316395)","Location(x=-4.339324, y=303.494507, z=0.000000)",18.48593306541443,523,1,10,20.871217371066667
152,26.713541912676675,-424.7856366932115,"Location(x=-5.132457, y=312.850983, z=0.318606)","Location(x=-1.314999, y=305.496674, z=0.000000)",20.473485469818115,577,1,21,19.571879160515714
153,33.560453829442345,-709.6585819909149,"Location(x=-11.843640, y=191.298447, z=0.328130)","Location(x=-7.453394, y=191.297455, z=0.000000)",15.263553142547607,427,1,18,20.540596298146852
154,27.261973031851753,-896.7769140594363,"Location(x=185.233856, y=225.106796, z=0.326100)","Location(x=189.694199, y=225.105789, z=0.000000)",9.634851217269897,258,1,4,17.890934226858576
155,26.256924202705125,-1196.350452427936,"Location(x=130.603912, y=180.063904, z=0.409826)","Location(x=130.600464, y=187.612106, z=0.000000)",11.271139860153198,294,1,8,14.9592001746826
156,33.38068919231567,-1286.086759585828,"Location(x=42.813869, y=179.094727, z=0.110829)","Location(x=42.809982, y=187.571854, z=0.000000)",22.983535051345825,598,1,2,20.41869520910296
157,32.71429644063282,-1445.3293058451438,"Location(x=38.213570, y=236.807617, z=0.299940)","Location(x=41.854111, y=236.807297, z=0.000000)",14.81622838973999,400,1,8,21.909296542372502
158,31.417632693167352,-1712.3166841588757,"Location(x=-14.040361, y=150.909317, z=0.287495)","Location(x=-7.435003, y=150.919220, z=0.000000)",14.396024465560913,359,1,10,21.337189769224764
159,28.449811846151583,-1736.7905987169809,"Location(x=38.377728, y=236.634247, z=0.284706)","Location(x=41.854095, y=236.633942, z=0.000000)",21.38884735107422,558,1,14,15.68959530955629
160,36.16792423695873,-2011.2715020197088,"Location(x=111.603165, y=182.033798, z=0.284190)","Location(x=111.600601, y=187.603394, z=0.000000)",12.41698956489563,318,1,8,16.91190967280619
161,33.035691411119664,-2136.332166198298,"Location(x=146.288528, y=111.825233, z=0.276618)","Location(x=146.290970, y=109.443909, z=0.000000)",7.573439836502075,200,1,9,15.490673662810602
162,27.683396910420246,-3003.1276053932643,"Location(x=-8.949862, y=88.610298, z=0.001844)","Location(x=-0.914780, y=106.904175, z=0.000000)",13.965293645858765,369,0,10,20.82046601795117
163,44.92394569679972,-4507.100896008862,"Location(x=204.436188, y=202.669876, z=0.301788)","Location(x=193.689133, y=202.672302, z=0.000000)",16.11141061782837,420,1,10,21.50895794036128
164,39.85989477919196,-4765.681057052711,"Location(x=197.945526, y=233.411499, z=0.325775)","Location(x=193.696091, y=233.412460, z=0.000000)",20.853199005126953,536,1,7,28.093118671268076
165,38.767384010545584,-4868.859491795514,"Location(x=38.417305, y=239.148544, z=0.276191)","Location(x=41.854317, y=239.148239, z=0.000000)",21.37708330154419,553,1,12,26.7837758294233
166,34.50478651818047,-4872.242089272387,"Location(x=-11.023978, y=189.267670, z=0.284620)","Location(x=-7.453853, y=189.266861, z=0.000000)",19.884172439575195,529,1,10,21.216549708853368
167,31.56590273283678,-5577.497362002109,"Location(x=-9.859162, y=89.224640, z=0.001721)","Location(x=-0.914780, y=106.904175, z=0.000000)",14.961653709411621,399,0,14,22.882735141657548
168,28.832631434869416,-5820.943091290266,"Location(x=172.902405, y=232.901596, z=0.322128)","Location(x=172.899948, y=236.948547, z=0.000000)",21.99642848968506,569,1,10,21.91157780631587
169,36.02175955852928,-6432.383571734739,"Location(x=183.178146, y=143.273285, z=0.299360)","Location(x=189.705734, y=143.279053, z=0.000000)",22.074660778045654,576,1,13,23.472722402957572
170,34.461918870662174,-6664.743163176953,"Location(x=84.164810, y=196.826874, z=0.310811)","Location(x=84.167206, y=191.590820, z=0.000000)",17.954862117767334,467,1,10,19.10111597783987
171,21.576795211071882,-6905.122862328638,"Location(x=184.806946, y=209.848602, z=0.330108)","Location(x=189.690750, y=209.847488, z=0.000000)",14.183047771453857,369,1,5,20.10024320735464
172,29.719740428820625,-6863.120829066091,"Location(x=134.727692, y=183.001129, z=0.336871)","Location(x=134.725586, y=187.613998, z=0.000000)",8.59089183807373,225,1,1,15.673513686129843
173,29.152477529452387,-6779.464397991862,"Location(x=133.107071, y=245.432236, z=0.331201)","Location(x=133.109787, y=240.924393, z=0.000000)",8.826183080673218,233,1,0,16.14541464263289
174,20.10520865704612,-6842.682969797485,"Location(x=191.244431, y=307.726013, z=0.291737)","Location(x=188.564713, y=304.065369, z=0.000000)",6.133580923080444,165,1,6,9.524006825363324
175,23.78689161534302,-7097.859694455516,"Location(x=25.736790, y=179.646790, z=0.169112)","Location(x=25.733164, y=187.564041, z=0.000000)",11.353271722793579,301,1,2,18.51509353667497
176,35.49761850674239,-7616.649077844145,"Location(x=72.018181, y=197.268585, z=0.302870)","Location(x=72.020782, y=191.585251, z=0.000000)",19.08659052848816,477,1,6,21.33196423148818
177,30.65843917778199,-7943.837343762487,"Location(x=-14.200041, y=122.869041, z=0.326368)","Location(x=-7.371964, y=122.879295, z=0.000000)",9.817140579223633,263,1,10,15.698978898923018
178,30.700511553095332,-8092.835699850344,"Location(x=62.819950, y=197.941406, z=0.280755)","Location(x=62.822868, y=191.581039, z=0.000000)",13.386541843414307,346,1,2,17.157851396767583
179,18.12701168149063,-8263.270663140951,"Location(x=0.488099, y=248.973419, z=0.322817)","Location(x=-3.440370, y=248.979507, z=0.000000)",12.120733976364136,319,1,10,10.501728527364346
180,43.87914509518681,-9112.608838669634,"Location(x=159.491241, y=291.063721, z=0.294848)","Location(x=159.495865, y=302.529297, z=0.000000)",23.038394689559937,603,1,20,26.891148459825864
181,36.32861381032561,-9194.415266608323,"Location(x=3.983790, y=195.383759, z=0.305014)","Location(x=3.985545, y=191.554077, z=0.000000)",9.08838415145874,240,1,10,17.465480462597913
182,28.676114483002063,-9392.71316827548,"Location(x=144.340881, y=195.801865, z=0.331428)","Location(x=144.331085, y=191.618393, z=0.000000)",10.216048002243042,262,1,8,16.02065950213691
183,28.976474185759383,-9601.651550058443,"Location(x=54.890244, y=182.826279, z=0.324675)","Location(x=54.888054, y=187.577408, z=0.000000)",11.568634033203125,295,1,4,17.171735992972476
184,38.091621161957704,-10595.28409046163,"Location(x=213.531616, y=290.891846, z=0.301788)","Location(x=193.672531, y=290.879181, z=0.000000)",23.88130211830139,613,0,22,27.586124637856656
185,40.381135552521144,-11979.126836710662,"Location(x=-27.440060, y=225.979446, z=0.276576)","Location(x=-7.445567, y=225.962357, z=0.000000)",15.021448373794556,397,0,9,18.78876200185043
186,32.75278245308396,-12520.543616973326,"Location(x=-13.025304, y=132.470871, z=0.325599)","Location(x=-7.393547, y=132.479324, z=0.000000)",21.610546588897705,566,1,28,29.196486556627335
187,25.22523838333715,-12597.6760006529,"Location(x=38.589104, y=110.560913, z=0.234910)","Location(x=38.587646, y=109.428032, z=0.000000)",19.996901035308838,531,1,26,19.222499040778246
188,37.84323458676516,-12742.542103347654,"Location(x=86.459526, y=244.782196, z=0.327684)","Location(x=86.461884, y=240.896057, z=0.000000)",15.791563987731934,410,1,11,23.58507260405148
189,31.689315493144896,-13191.743491620387,"Location(x=58.919647, y=199.294983, z=0.255887)","Location(x=58.923183, y=191.579254, z=0.000000)",11.024634838104248,288,1,8,18.010950308239522
190,28.479209880902882,-13419.456249556823,"Location(x=193.057022, y=307.596252, z=0.329488)","Location(x=189.499146, y=303.376068, z=0.000000)",34.515477657318115,887,1,17,22.815028605561302
191,36.42158151444486,-13664.65331053481,"Location(x=199.941635, y=241.518982, z=0.324639)","Location(x=193.697922, y=241.520401, z=0.000000)",23.55696415901184,601,1,6,23.360015072496893
192,27.418597403551267,-13732.929204249644,"Location(x=186.285721, y=272.336182, z=0.298653)","Location(x=189.685211, y=272.336517, z=0.000000)",6.8581702709198,179,1,7,13.938497889934185
193,38.16632550164909,-14294.563345786173,"Location(x=212.793976, y=301.716034, z=0.301787)","Location(x=193.373016, y=297.394379, z=0.000000)",17.34024930000305,455,0,16,18.40140741155592
195,30.063704353332195,-14224.36833959543,"Location(x=197.996017, y=237.238388, z=0.329059)","Location(x=193.696945, y=237.239365, z=0.000000)",16.487815141677856,431,1,2,11.882559146732328
196,29.163803879784425,-15039.420588385812,"Location(x=-9.628514, y=89.192032, z=0.001681)","Location(x=-0.914780, y=106.904175, z=0.000000)",9.77006983757019,262,0,10,13.619088217808837
197,31.300455816300072,-15291.865288555515,"Location(x=-5.053185, y=312.721832, z=0.319624)","Location(x=-1.314999, y=305.496674, z=0.000000)",31.067988634109497,819,1,20,22.601675819931284
198,30.23741945673073,-15325.410998952311,"Location(x=133.899979, y=183.161652, z=0.331808)","Location(x=133.897949, y=187.613617, z=0.000000)",8.466004371643066,218,1,5,16.144923721818827
199,31.51226855977034,-15460.570509280455,"Location(x=49.663368, y=310.002411, z=0.285739)","Location(x=49.659756, y=306.530365, z=0.000000)",9.41147518157959,252,1,4,15.557432988341231
200,32.34579164692836,-15537.26102061523,"Location(x=17.777523, y=196.465881, z=0.320193)","Location(x=17.779770, y=191.560394, z=0.000000)",18.578638553619385,489,1,8,13.135017578895392
201,25.745423693901735,-290.87220592176806,"Location(x=37.478176, y=229.747849, z=0.325834)","Location(x=41.853500, y=229.747467, z=0.000000)",11.026135444641113,293,1,4,15.851028733142325
202,31.912342560524007,-916.6860697069567,"Location(x=213.486069, y=195.849564, z=0.301917)","Location(x=193.687592, y=195.854050, z=0.000000)",14.04926586151123,367,0,3,18.93211972318208
203,39.18292711732065,-1735.838921222476,"Location(x=213.638138, y=292.731995, z=0.301732)","Location(x=193.671265, y=292.719269, z=0.000000)",16.18655014038086,421,0,18,20.345360523307104
204,28.65494514199329,-1755.9616247514093,"Location(x=-11.736646, y=185.834915, z=0.316087)","Location(x=-7.454628, y=185.833954, z=0.000000)",7.753515958786011,203,1,2,15.266602397990802
205,38.126881130533064,-1805.305631615233,"Location(x=35.487339, y=196.885620, z=0.330622)","Location(x=35.572140, y=191.568542, z=0.000000)",24.738285779953003,651,1,6,11.740548821651375
206,31.270313673955375,-1860.6377500816775,"Location(x=55.538334, y=185.028061, z=0.283858)","Location(x=55.537148, y=187.577698, z=0.000000)",10.17218828201294,262,1,3,15.795470331314599
207,32.99564758918825,-2016.9668290968523,"Location(x=197.125107, y=227.754410, z=0.302128)","Location(x=193.694809, y=227.755188, z=0.000000)",11.162587881088257,288,1,8,18.299571154926994
208,32.64406492544866,-2074.3413749438246,"Location(x=47.974102, y=309.874908, z=0.270243)","Location(x=47.972588, y=306.530457, z=0.000000)",10.745578289031982,285,1,2,13.607001083937217
209,40.73045801421903,-2203.620667390655,"Location(x=47.219139, y=249.665466, z=0.244550)","Location(x=45.855228, y=249.665604, z=0.000000)",8.928979635238647,231,1,2,17.585094654917107
210,35.17265862718096,-2347.4956679992138,"Location(x=43.860325, y=179.239487, z=0.128187)","Location(x=43.856503, y=187.572342, z=0.000000)",13.382650136947632,348,1,2,14.574840665337323
211,31.48050597056713,-2375.430017629638,"Location(x=47.053818, y=179.484238, z=0.140573)","Location(x=47.050106, y=187.573807, z=0.000000)",10.814429521560669,287,1,2,14.081650678652569
212,26.946275835957646,-2502.331808095374,"Location(x=83.574478, y=232.955444, z=0.329200)","Location(x=83.572090, y=236.894302, z=0.000000)",8.612765550613403,218,1,7,12.773039785003293
213,27.941972045701245,-2827.7123345101622,"Location(x=48.283184, y=205.803253, z=0.309030)","Location(x=45.851421, y=205.803467, z=0.000000)",13.124525547027588,342,1,3,21.273223324009845
214,26.36198507404938,-3000.962060142303,"Location(x=78.028168, y=310.639862, z=0.328649)","Location(x=78.028412, y=306.539978, z=0.000000)",10.253723859786987,267,1,8,13.951342148388532
215,31.006437383080698,-3125.463882508291,"Location(x=164.690918, y=104.310623, z=0.241120)","Location(x=164.690826, y=105.431412, z=0.000000)",22.876764059066772,589,1,27,20.214370028590327
216,30.365032020128204,-3210.598041420042,"Location(x=55.677734, y=308.621857, z=0.270851)","Location(x=55.677856, y=306.532410, z=0.000000)",11.415720462799072,304,1,7,12.120640617633601
217,23.54546945571744,-3361.6583579477337,"Location(x=-10.812993, y=209.506851, z=0.296249)","Location(x=-7.449284, y=209.503967, z=0.000000)",8.045376062393188,214,1,8,13.155218628029585
218,25.434921906586244,-4325.8133206898965,"Location(x=212.990112, y=301.162628, z=0.301785)","Location(x=193.373016, y=297.394379, z=0.000000)",15.291527509689331,394,0,15,21.32301011889654
219,30.1763576738512,-5056.894725455235,"Location(x=213.559113, y=184.346436, z=0.301886)","Location(x=193.684998, y=184.350937, z=0.000000)",10.048499822616577,262,0,2,19.73510238446112
220,24.617483736862862,-5215.5834217249085,"Location(x=88.726486, y=297.537476, z=0.323382)","Location(x=88.731956, y=302.543610, z=0.000000)",10.563134670257568,238,1,8,14.140936744880845
221,34.55123051837517,-6489.022337862633,"Location(x=213.339111, y=202.983719, z=0.301817)","Location(x=193.689209, y=202.988159, z=0.000000)",14.106643676757812,360,1,9,20.015562350099508
222,33.98784313746577,-6417.918646308233,"Location(x=-11.055474, y=188.684372, z=0.294717)","Location(x=-7.453985, y=188.683563, z=0.000000)",15.369300603866577,409,1,2,10.336511137981782
223,51.19824455215445,-7981.711283181583,"Location(x=207.240295, y=103.088501, z=0.302485)","Location(x=192.034149, y=111.297066, z=0.000000)",14.731651067733765,379,1,10,22.432201805869365
224,24.79579602586599,-7960.104502374839,"Location(x=-10.974117, y=302.646790, z=0.320983)","Location(x=-6.535417, y=300.425476, z=0.000000)",7.745703458786011,200,1,8,11.253816407855094
225,28.774907391889904,-8277.56409178862,"Location(x=100.388115, y=230.350555, z=0.277688)","Location(x=100.384132, y=236.904510, z=0.000000)",12.5444655418396,313,1,8,14.783231328165925
226,34.17305159983376,-8484.844025307248,"Location(x=135.522217, y=176.850296, z=0.476598)","Location(x=135.517288, y=187.614365, z=0.000000)",13.038020372390747,332,1,2,12.690044140128096
227,33.39619561018786,-8471.846775493113,"Location(x=129.889389, y=245.631577, z=0.329983)","Location(x=129.892227, y=240.922440, z=0.000000)",10.302367448806763,264,1,2,14.549456456385283
228,32.75075528974836,-8396.219758122998,"Location(x=85.337334, y=244.942917, z=0.322394)","Location(x=85.339790, y=240.895386, z=0.000000)",44.25585198402405,1130,1,15,7.555272654472969
229,32.37247876453176,-9162.59467312765,"Location(x=-11.265677, y=89.778908, z=0.001543)","Location(x=-1.654514, y=107.303383, z=0.000000)",11.136003494262695,289,0,9,20.100912053289722
230,32.007295601127105,-9835.950771455213,"Location(x=213.197021, y=298.789917, z=0.301875)","Location(x=193.591187, y=296.185181, z=0.000000)",15.91347599029541,417,0,4,9.35232306156322
231,27.280950556400505,-10719.982950858357,"Location(x=-1.894144, y=86.359459, z=0.001860)","Location(x=2.439472, y=105.775093, z=0.000000)",15.13604736328125,397,0,14,19.941405968918446
232,22.505737988987626,-10869.273515420067,"Location(x=185.658829, y=137.560638, z=0.319263)","Location(x=189.713501, y=137.564209, z=0.000000)",7.396395683288574,191,1,7,14.176195188250077
233,31.67210257114436,-11205.329163290136,"Location(x=208.513535, y=187.613785, z=0.301815)","Location(x=193.685730, y=187.617157, z=0.000000)",10.529803276062012,272,1,2,16.788313397123606
234,28.049966600447213,-11682.720175839255,"Location(x=61.256054, y=252.747070, z=0.309051)","Location(x=61.263260, y=240.880753, z=0.000000)",14.210466623306274,363,1,7,13.450787200815482
235,29.16273509387003,-12309.704335544888,"Location(x=-13.296368, y=131.366608, z=0.328193)","Location(x=-7.391065, y=131.375458, z=0.000000)",13.171261548995972,340,1,21,15.033623460120774
236,27.82075209743098,-12071.150108536114,"Location(x=133.870453, y=245.473709, z=0.323427)","Location(x=133.873199, y=240.924850, z=0.000000)",25.017444610595703,644,1,2,5.880932337700766
237,36.07186432271567,-12213.890036821696,"Location(x=3.167879, y=195.129639, z=0.282935)","Location(x=3.169770, y=191.553696, z=0.000000)",9.262826204299927,235,1,9,17.53052681899729
238,24.835456895237147,-12320.339757994652,"Location(x=0.425541, y=232.756531, z=0.328165)","Location(x=-3.444032, y=232.762573, z=0.000000)",8.255573987960815,211,1,9,13.137883924663504
239,28.49231345878035,-12418.15918190284,"Location(x=139.996765, y=232.249878, z=0.275529)","Location(x=136.118652, y=232.475067, z=0.000000)",12.959741115570068,326,1,4,12.35539863794195
240,31.075313128828665,-12794.431148809534,"Location(x=114.456757, y=293.792114, z=0.321594)","Location(x=114.463737, y=302.552307, z=0.000000)",13.380249261856079,345,1,8,14.372003066658424
241,29.54490045178993,-13031.651447266235,"Location(x=9.342978, y=185.201630, z=0.290100)","Location(x=9.341900, y=187.556519, z=0.000000)",16.768774032592773,437,1,12,23.799102198357534
242,34.09543470594736,-13011.271969304722,"Location(x=-10.881065, y=189.392609, z=0.281994)","Location(x=-7.453825, y=189.391830, z=0.000000)",9.685816764831543,250,1,2,11.930640099786006
243,34.037588356184074,-13020.12809618123,"Location(x=189.776611, y=107.182533, z=0.226230)","Location(x=188.982056, y=107.912361, z=0.000000)",12.741447925567627,334,1,16,18.97287492034035
244,28.705098991236362,-14671.556962064065,"Location(x=32.290176, y=129.370651, z=0.001875)","Location(x=32.266148, y=109.450851, z=0.000000)",12.13221788406372,319,0,10,19.73251084214316
245,23.91383662615813,-14764.468265896323,"Location(x=186.283371, y=273.117432, z=0.296375)","Location(x=189.684677, y=273.117767, z=0.000000)",8.109220504760742,206,1,7,11.641216311941879
