episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
410,31.568583782088556,8150.529511999847,"Location(x=5.265998, y=151.310013, z=0.326885)","Location(x=-3.435854, y=151.301926, z=0.000000)",118.06450843811035,2733,1,30,2.696135318616931
411,23.084756569690516,10245.712535515097,"Location(x=160.984833, y=233.293015, z=0.298000)","Location(x=160.982620, y=236.941315, z=0.000000)",144.9724953174591,3293,1,7,0.4347504624741833
412,19.852008174345542,10318.112898268388,"Location(x=98.451851, y=230.782639, z=0.285403)","Location(x=98.448135, y=236.903336, z=0.000000)",37.22259283065796,830,1,8,1.9639207004248003
413,69.81680948249515,10516.887747753783,"Location(x=176.274704, y=144.563217, z=0.221813)","Location(x=189.703979, y=144.575089, z=0.000000)",69.50471258163452,1569,1,8,3.761580469777029
414,3.330233384048683e-06,13500.893964603705,"Location(x=135.879990, y=215.269958, z=0.221732)","Location(x=136.133987, y=215.270218, z=0.000000)",180.4096953868866,4000,0,0,0.0051814420747801695
415,2.231600947940126e-06,17013.03328402764,"Location(x=-7.530000, y=270.729980, z=0.221731)","Location(x=-7.408063, y=270.732574, z=0.000000)",170.98183751106262,4000,0,0,0.005208565900344192
416,2.527028918336691,19374.364425055566,"Location(x=-4.822751, y=140.312988, z=0.221693)","Location(x=-3.411164, y=140.320099, z=0.000000)",173.3236038684845,4000,0,2,0.07768104768260416
417,2.0942757322204633e-06,22536.900533179753,"Location(x=18.250019, y=191.769974, z=0.221732)","Location(x=18.250114, y=191.560608, z=0.000000)",177.23547530174255,4000,0,0,0.005111575034461234
418,3.330230703148083e-06,25338.05016255055,"Location(x=-3.679999, y=288.219971, z=0.221731)","Location(x=-3.380288, y=288.219727, z=0.000000)",174.79590392112732,4000,0,0,0.005297523422090988
420,2.2325444443297254e-06,28772.86413685933,"Location(x=166.914520, y=191.770035, z=0.221732)","Location(x=166.914581, y=191.628738, z=0.000000)",177.1096634864807,4000,0,0,0.003834970157880505
421,2.0965042507553045e-06,32588.353925530006,"Location(x=131.690018, y=109.400040, z=0.221732)","Location(x=131.690018, y=109.446167, z=0.000000)",177.82511615753174,4000,0,0,0.005362024357682099
422,21.220413096960204,32379.50071386059,"Location(x=152.777069, y=245.643600, z=0.320527)","Location(x=152.779922, y=240.936340, z=0.000000)",12.187572479248047,270,1,7,6.076529423158654
423,3.124249718571638e-06,34509.78023613335,"Location(x=41.389999, y=275.029999, z=0.221732)","Location(x=41.857430, y=275.029968, z=0.000000)",173.31950283050537,4000,0,0,0.005336792983976163
425,1.5197000914522741e-06,40854.72187334907,"Location(x=21.420019, y=109.399986, z=0.221732)","Location(x=21.420080, y=109.490005, z=0.000000)",179.5868809223175,4000,0,0,0.005013016530161787
426,2.6779185584961394e-06,43655.87150271987,"Location(x=-3.679999, y=288.219971, z=0.221731)","Location(x=-3.380288, y=288.219727, z=0.000000)",164.18439364433289,4000,0,0,0.0053409966478609435
427,3.639953538697093e-06,47614.16687174589,"Location(x=55.410023, y=109.399986, z=0.221732)","Location(x=55.401302, y=109.394272, z=0.000000)",172.29452204704285,4000,0,0,0.005299395911832318
428,11.880967326571339,47210.11891925088,"Location(x=125.840485, y=293.416809, z=0.321764)","Location(x=125.847610, y=302.556183, z=0.000000)",7.440675973892212,177,1,8,12.780833872952318
429,6.408815182281596,44632.32942107305,"Location(x=108.472282, y=246.654083, z=0.265233)","Location(x=108.475769, y=240.909424, z=0.000000)",41.0078547000885,955,1,8,1.6578575518727119
430,1.999881157903448e-06,46156.94181963151,"Location(x=45.239998, y=291.289978, z=0.221731)","Location(x=45.858845, y=291.289917, z=0.000000)",174.8108627796173,4000,0,0,0.005227613824353855
